Sample Number (#),Time (ms),Neck right / left lateral bending (+/-),Neck right / left rotation (+/-),Neck flexion / extension (+/-),Back right / left lateral bending (+/-),Back right / left rotation (+/-),Back flexion / extension (+/-),Shoulder (L) abduction / adduction (+/-),Shoulder (L) internal / external rotation (+/-),Shoulder (L) flexion / extension (+/-),Shoulder (R) abduction / adduction (+/-),Shoulder (R) internal / external rotation (+/-),Shoulder (R) flexion / extension (+/-),Elbow (L) supination / pronation (+/-),Elbow (L) flexion / extension (+/-),Elbow (R) supination / pronation (+/-),Elbow (R) flexion / extension (+/-),Wrist (L) flexion / extension (+/-),Wrist (L) ulnar / radial deviation (+/-),Wrist (R) flexion / extension (+/-),Wrist (R) ulnar / radial deviation (+/-),Hip (L) abduction / adduction (+/-),Hip (L) internal / external rotation (+/-),Hip (L) flexion / extension (+/-),Hip (R) abduction / adduction (+/-),Hip (R) internal / external rotation (+/-),Hip (R) flexion / extension (+/-),Knee (L) valgus / varus (+/-),Knee (L) internal / external rotation (+/-),Knee (L) flexion / extension (+/-),Knee (R) valgus / varus (+/-),Knee (R) internal / external rotation (+/-),Knee (R) flexion / extension (+/-),Ankle (L) eversion / inversion (+/-),Ankle (L) abduction / adduction (+/-),Ankle (L) dorsiflexion / plantarflexion (+/-),Ankle (R) eversion / inversion (+/-),Ankle (R) abduction / adduction (+/-),Ankle (R) dorsiflexion / plantarflexion (+/-)
1,0,-0.03,0.24,-0.17,-0.08,-0.07,-0.34,6.24,0.47,-8.5,11.35,-0.09,21.1,1.89,16.38,-1.23,-6.04,5.76,-6.1,2.54,9.68,0.09,0.07,11.13,-0.06,-0.08,13.44,1.44,-0.11,12.74,-2.21,-0.11,10.63,1.31,-0.17,1.4,-2.26,-0.13,-3.05
2,0.0078,-0.03,0.25,-0.17,-0.08,-0.07,-0.34,6.24,0.46,-8.5,11.35,-0.11,21.1,1.88,16.37,-1.24,-6.04,5.76,-6.1,2.54,9.68,0.09,0.07,11.13,-0.06,-0.08,13.44,1.44,-0.11,12.74,-2.21,-0.11,10.63,1.31,-0.17,1.39,-2.26,-0.12,-3.05
3,0.0156,-0.03,0.25,-0.17,-0.08,-0.07,-0.34,6.24,0.46,-8.51,11.35,-0.12,21.09,1.88,16.37,-1.26,-6.04,5.76,-6.1,2.53,9.68,0.09,0.07,11.13,-0.06,-0.07,13.45,1.44,-0.11,12.74,-2.21,-0.11,10.64,1.31,-0.17,1.39,-2.26,-0.13,-3.05
4,0.0234,-0.03,0.26,-0.17,-0.09,-0.07,-0.35,6.24,0.46,-8.51,11.34,-0.13,21.09,1.87,16.37,-1.27,-6.03,5.76,-6.1,2.53,9.68,0.09,0.07,11.13,-0.05,-0.07,13.45,1.44,-0.11,12.75,-2.21,-0.11,10.64,1.31,-0.17,1.39,-2.26,-0.13,-3.05
5,0.0313,-0.03,0.26,-0.17,-0.09,-0.07,-0.35,6.24,0.45,-8.52,11.34,-0.15,21.09,1.87,16.36,-1.28,-6.03,5.76,-6.1,2.53,9.67,0.09,0.07,11.14,-0.05,-0.07,13.45,1.44,-0.11,12.75,-2.21,-0.11,10.64,1.31,-0.17,1.39,-2.26,-0.13,-3.05
6,0.0391,-0.03,0.26,-0.17,-0.08,-0.07,-0.35,6.24,0.45,-8.52,11.34,-0.16,21.1,1.86,16.36,-1.3,-6.03,5.76,-6.1,2.53,9.67,0.09,0.07,11.14,-0.06,-0.06,13.45,1.45,-0.11,12.75,-2.21,-0.11,10.65,1.31,-0.17,1.39,-2.26,-0.13,-3.05
7,0.0469,-0.02,0.26,-0.17,-0.08,-0.07,-0.36,6.23,0.44,-8.53,11.34,-0.17,21.1,1.86,16.36,-1.31,-6.04,5.76,-6.1,2.53,9.67,0.09,0.07,11.14,-0.06,-0.06,13.45,1.45,-0.12,12.76,-2.21,-0.12,10.65,1.31,-0.17,1.39,-2.26,-0.13,-3.05
8,0.0547,-0.02,0.26,-0.17,-0.08,-0.07,-0.36,6.23,0.43,-8.54,11.34,-0.18,21.1,1.85,16.36,-1.32,-6.04,5.76,-6.09,2.53,9.67,0.09,0.08,11.14,-0.06,-0.06,13.45,1.45,-0.12,12.76,-2.22,-0.12,10.65,1.32,-0.16,1.39,-2.26,-0.13,-3.05
9,0.0625,-0.02,0.27,-0.17,-0.08,-0.07,-0.37,6.23,0.43,-8.55,11.33,-0.19,21.1,1.85,16.35,-1.33,-6.04,5.76,-6.09,2.53,9.67,0.1,0.08,11.14,-0.06,-0.06,13.46,1.45,-0.12,12.76,-2.22,-0.12,10.66,1.32,-0.16,1.39,-2.26,-0.13,-3.05
10,0.0703,-0.02,0.26,-0.17,-0.08,-0.06,-0.37,6.23,0.42,-8.56,11.33,-0.2,21.1,1.84,16.35,-1.34,-6.05,5.76,-6.09,2.53,9.67,0.1,0.09,11.14,-0.06,-0.06,13.46,1.45,-0.13,12.76,-2.22,-0.12,10.66,1.32,-0.16,1.39,-2.26,-0.14,-3.06
11,0.0781,-0.02,0.26,-0.17,-0.08,-0.06,-0.38,6.23,0.42,-8.56,11.33,-0.2,21.09,1.84,16.35,-1.35,-6.05,5.76,-6.09,2.53,9.68,0.1,0.1,11.15,-0.06,-0.06,13.46,1.45,-0.13,12.77,-2.22,-0.12,10.66,1.32,-0.15,1.39,-2.26,-0.14,-3.05
12,0.0859,-0.02,0.26,-0.18,-0.07,-0.06,-0.38,6.24,0.42,-8.58,11.32,-0.2,21.09,1.84,16.35,-1.36,-6.05,5.76,-6.09,2.53,9.68,0.1,0.1,11.15,-0.06,-0.06,13.46,1.45,-0.13,12.77,-2.21,-0.12,10.67,1.32,-0.15,1.39,-2.26,-0.14,-3.05
13,0.0938,-0.02,0.25,-0.18,-0.07,-0.06,-0.39,6.23,0.42,-8.59,11.32,-0.21,21.08,1.84,16.35,-1.36,-6.06,5.76,-6.09,2.53,9.68,0.09,0.1,11.14,-0.06,-0.06,13.46,1.45,-0.14,12.77,-2.21,-0.12,10.67,1.32,-0.15,1.39,-2.26,-0.14,-3.05
14,0.1016,-0.02,0.25,-0.19,-0.07,-0.06,-0.39,6.23,0.41,-8.6,11.32,-0.2,21.07,1.84,16.35,-1.37,-6.06,5.76,-6.09,2.53,9.68,0.09,0.1,11.14,-0.06,-0.06,13.46,1.45,-0.14,12.77,-2.22,-0.12,10.68,1.32,-0.15,1.39,-2.26,-0.14,-3.05
15,0.1094,-0.02,0.24,-0.2,-0.07,-0.06,-0.4,6.23,0.41,-8.61,11.32,-0.2,21.06,1.83,16.35,-1.37,-6.06,5.76,-6.09,2.54,9.68,0.09,0.1,11.14,-0.06,-0.06,13.46,1.45,-0.14,12.77,-2.22,-0.12,10.68,1.32,-0.15,1.39,-2.26,-0.14,-3.05
16,0.1172,-0.02,0.23,-0.21,-0.07,-0.06,-0.41,6.23,0.41,-8.63,11.32,-0.2,21.05,1.83,16.35,-1.37,-6.07,5.76,-6.08,2.54,9.68,0.09,0.1,11.14,-0.06,-0.05,13.47,1.45,-0.14,12.78,-2.22,-0.12,10.69,1.33,-0.15,1.39,-2.26,-0.15,-3.05
17,0.125,-0.02,0.23,-0.22,-0.07,-0.06,-0.42,6.23,0.41,-8.64,11.32,-0.2,21.04,1.82,16.35,-1.37,-6.08,5.76,-6.08,2.54,9.68,0.09,0.1,11.14,-0.06,-0.06,13.47,1.45,-0.14,12.78,-2.22,-0.12,10.7,1.33,-0.15,1.39,-2.26,-0.15,-3.05
18,0.1328,-0.02,0.23,-0.23,-0.07,-0.07,-0.42,6.23,0.4,-8.64,11.32,-0.2,21.04,1.81,16.35,-1.38,-6.08,5.76,-6.08,2.54,9.68,0.08,0.09,11.14,-0.06,-0.05,13.47,1.45,-0.13,12.78,-2.22,-0.12,10.7,1.33,-0.15,1.39,-2.26,-0.15,-3.05
19,0.1406,-0.02,0.23,-0.24,-0.07,-0.07,-0.43,6.23,0.39,-8.65,11.32,-0.21,21.04,1.8,16.35,-1.39,-6.09,5.76,-6.08,2.54,9.68,0.08,0.08,11.14,-0.06,-0.05,13.48,1.44,-0.13,12.78,-2.22,-0.12,10.71,1.33,-0.15,1.39,-2.26,-0.15,-3.05
20,0.1484,-0.03,0.22,-0.24,-0.06,-0.07,-0.43,6.24,0.38,-8.65,11.32,-0.21,21.04,1.79,16.35,-1.4,-6.09,5.76,-6.08,2.54,9.68,0.08,0.07,11.14,-0.06,-0.05,13.48,1.45,-0.13,12.79,-2.22,-0.12,10.72,1.33,-0.15,1.39,-2.26,-0.15,-3.05
21,0.1563,-0.03,0.22,-0.25,-0.06,-0.07,-0.43,6.24,0.36,-8.65,11.32,-0.22,21.03,1.78,16.35,-1.41,-6.09,5.77,-6.09,2.55,9.68,0.08,0.07,11.14,-0.06,-0.05,13.48,1.45,-0.12,12.79,-2.22,-0.12,10.72,1.33,-0.15,1.39,-2.26,-0.15,-3.04
22,0.1641,-0.03,0.22,-0.26,-0.06,-0.07,-0.43,6.24,0.35,-8.66,11.32,-0.22,21.03,1.77,16.35,-1.42,-6.1,5.77,-6.09,2.55,9.68,0.07,0.07,11.14,-0.05,-0.05,13.48,1.45,-0.12,12.79,-2.22,-0.12,10.73,1.34,-0.15,1.39,-2.26,-0.16,-3.04
23,0.1719,-0.03,0.22,-0.27,-0.06,-0.07,-0.44,6.24,0.34,-8.66,11.32,-0.23,21.02,1.76,16.35,-1.43,-6.1,5.78,-6.09,2.55,9.68,0.07,0.07,11.14,-0.05,-0.05,13.48,1.44,-0.12,12.79,-2.22,-0.12,10.73,1.34,-0.15,1.39,-2.26,-0.16,-3.04
24,0.1797,-0.03,0.22,-0.28,-0.06,-0.08,-0.44,6.25,0.33,-8.67,11.33,-0.24,21.02,1.75,16.35,-1.44,-6.1,5.78,-6.09,2.55,9.68,0.07,0.07,11.15,-0.06,-0.05,13.49,1.44,-0.12,12.8,-2.23,-0.11,10.74,1.34,-0.15,1.39,-2.26,-0.16,-3.04
25,0.1875,-0.03,0.22,-0.29,-0.06,-0.08,-0.44,6.25,0.31,-8.67,11.33,-0.24,21.02,1.74,16.35,-1.44,-6.1,5.78,-6.09,2.55,9.69,0.07,0.07,11.15,-0.06,-0.05,13.49,1.45,-0.12,12.8,-2.23,-0.11,10.75,1.35,-0.15,1.39,-2.26,-0.16,-3.04
26,0.1953,-0.03,0.23,-0.3,-0.05,-0.08,-0.44,6.25,0.31,-8.68,11.33,-0.25,21.01,1.74,16.35,-1.45,-6.1,5.78,-6.09,2.55,9.69,0.07,0.07,11.15,-0.06,-0.05,13.49,1.45,-0.13,12.81,-2.23,-0.11,10.75,1.35,-0.15,1.39,-2.26,-0.16,-3.04
27,0.2031,-0.03,0.23,-0.3,-0.05,-0.08,-0.44,6.25,0.3,-8.68,11.34,-0.25,21.01,1.73,16.35,-1.45,-6.1,5.78,-6.1,2.55,9.69,0.07,0.07,11.15,-0.06,-0.05,13.49,1.45,-0.13,12.81,-2.23,-0.11,10.76,1.35,-0.15,1.39,-2.26,-0.16,-3.04
28,0.2109,-0.03,0.23,-0.31,-0.05,-0.08,-0.45,6.25,0.3,-8.68,11.34,-0.25,21.01,1.73,16.35,-1.46,-6.1,5.77,-6.1,2.55,9.69,0.07,0.07,11.15,-0.06,-0.05,13.49,1.44,-0.13,12.81,-2.23,-0.12,10.77,1.35,-0.15,1.39,-2.26,-0.16,-3.04
29,0.2188,-0.03,0.23,-0.32,-0.05,-0.08,-0.45,6.25,0.29,-8.69,11.34,-0.26,21,1.73,16.35,-1.47,-6.1,5.77,-6.1,2.55,9.69,0.06,0.07,11.15,-0.06,-0.05,13.49,1.44,-0.12,12.82,-2.23,-0.12,10.77,1.35,-0.15,1.39,-2.26,-0.16,-3.03
30,0.2266,-0.04,0.23,-0.33,-0.05,-0.08,-0.45,6.25,0.29,-8.69,11.34,-0.27,21,1.73,16.34,-1.48,-6.11,5.77,-6.1,2.55,9.69,0.06,0.08,11.14,-0.06,-0.05,13.49,1.44,-0.12,12.82,-2.23,-0.12,10.78,1.36,-0.15,1.39,-2.26,-0.16,-3.03
31,0.2344,-0.04,0.24,-0.34,-0.05,-0.08,-0.45,6.26,0.29,-8.7,11.34,-0.27,21,1.72,16.34,-1.48,-6.11,5.77,-6.1,2.55,9.69,0.07,0.08,11.14,-0.06,-0.04,13.49,1.44,-0.12,12.83,-2.24,-0.13,10.78,1.36,-0.15,1.39,-2.26,-0.16,-3.03
32,0.2422,-0.05,0.24,-0.35,-0.04,-0.08,-0.45,6.26,0.29,-8.7,11.34,-0.28,20.99,1.72,16.34,-1.49,-6.11,5.77,-6.1,2.55,9.7,0.07,0.08,11.14,-0.07,-0.04,13.49,1.44,-0.12,12.83,-2.24,-0.13,10.78,1.36,-0.15,1.39,-2.25,-0.15,-3.03
33,0.25,-0.05,0.24,-0.36,-0.04,-0.09,-0.45,6.26,0.29,-8.71,11.34,-0.28,20.99,1.71,16.34,-1.49,-6.12,5.77,-6.11,2.55,9.7,0.07,0.09,11.15,-0.07,-0.04,13.49,1.44,-0.12,12.84,-2.24,-0.13,10.79,1.37,-0.15,1.39,-2.25,-0.15,-3.03
34,0.2578,-0.06,0.24,-0.38,-0.04,-0.09,-0.45,6.27,0.29,-8.71,11.34,-0.29,20.98,1.7,16.33,-1.5,-6.12,5.77,-6.11,2.55,9.7,0.07,0.1,11.15,-0.08,-0.04,13.49,1.44,-0.13,12.84,-2.24,-0.13,10.79,1.37,-0.15,1.39,-2.25,-0.15,-3.03
35,0.2656,-0.06,0.24,-0.39,-0.04,-0.09,-0.46,6.27,0.28,-8.72,11.34,-0.29,20.98,1.69,16.33,-1.5,-6.12,5.77,-6.11,2.55,9.7,0.07,0.1,11.15,-0.08,-0.04,13.49,1.45,-0.13,12.85,-2.24,-0.13,10.79,1.37,-0.15,1.39,-2.25,-0.15,-3.03
36,0.2734,-0.06,0.25,-0.4,-0.04,-0.09,-0.47,6.27,0.28,-8.73,11.34,-0.3,20.97,1.69,16.33,-1.51,-6.12,5.77,-6.11,2.55,9.7,0.07,0.11,11.15,-0.08,-0.04,13.49,1.45,-0.13,12.85,-2.25,-0.14,10.79,1.37,-0.16,1.39,-2.25,-0.15,-3.03
37,0.2813,-0.06,0.25,-0.42,-0.04,-0.09,-0.47,6.28,0.27,-8.73,11.34,-0.31,20.96,1.68,16.32,-1.52,-6.12,5.77,-6.11,2.55,9.7,0.07,0.11,11.15,-0.08,-0.04,13.49,1.45,-0.13,12.85,-2.25,-0.14,10.79,1.38,-0.16,1.39,-2.25,-0.15,-3.03
38,0.2891,-0.06,0.25,-0.43,-0.04,-0.09,-0.48,6.28,0.27,-8.74,11.34,-0.32,20.95,1.67,16.32,-1.53,-6.12,5.77,-6.1,2.55,9.7,0.07,0.11,11.15,-0.08,-0.04,13.49,1.45,-0.12,12.86,-2.25,-0.15,10.79,1.38,-0.16,1.39,-2.25,-0.15,-3.03
39,0.2969,-0.06,0.24,-0.45,-0.04,-0.09,-0.49,6.28,0.26,-8.75,11.34,-0.33,20.94,1.66,16.32,-1.54,-6.12,5.78,-6.1,2.55,9.69,0.07,0.11,11.16,-0.08,-0.04,13.49,1.46,-0.12,12.86,-2.25,-0.15,10.8,1.38,-0.16,1.39,-2.25,-0.15,-3.03
40,0.3047,-0.06,0.24,-0.46,-0.04,-0.08,-0.5,6.28,0.26,-8.76,11.34,-0.34,20.93,1.66,16.31,-1.56,-6.12,5.78,-6.1,2.55,9.69,0.08,0.1,11.16,-0.08,-0.04,13.49,1.46,-0.12,12.86,-2.25,-0.15,10.8,1.38,-0.16,1.39,-2.25,-0.14,-3.03
